id,subject,mohs,source,original_problem,adapted_problem,answer
11,Algebra,10M,"IMO 2010, P1","Find all function f : R $\to$ R such that for all x, y $\in$ R the following equality holds f(bxc y) $=$ f(x) bf(y)c where bac is greatest integer not greater than a.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 2 \pmod{22}$.",200
12,Algebra,10M,USAMO 2000 P1,Call a real-valued function f very convex if f(x) + f(y)$^2$ $\ge$ f ( x + $y^2$ ) + |x - y| holds for all real numbers x and y. Prove that no very convex function exists.,Let $P(x) = x^3 - 4x^2 + 7x - 3$. Find the product of all real roots of $P(x) = 0$.,3
13,Algebra,10M,USAMO 2000 P2,"Let S be the set of all triangles ABC for which 5 ( 1 AP + 1 BQ + 1 CR) - 3 min{AP, BQ, CR} $=$ 6 r , where r is the inradius and P, Q, R are the points of tangency of the incir￾cle with sides AB, BC, CA, respectively. Prove that all triangles in S are isosceles and similar to one another.","For the recurrence $a_0 = 4$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",6142
14,Algebra,10M,USAMO 2002 P4,Let R be the set of real numbers. Determine all functions f : R $\to$ R such that f($x^2$ - $y^2$ ) $=$ xf(x) - yf(y) for all pairs of real numbers x and y.,"How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
15,Algebra,10M,USAMO 2006 P2,"For a given positive integer k find, in terms of k, the minimum value of N for which there is a set of 2k + 1 distinct positive integers that has sum greater than N but every subset of size k has sum $a_t$ most $N^2$ .","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 6 \pmod{26}$.",600
16,Algebra,10M,USAMO 2006 P4,"Find all positive integers n such that there are k $\ge$ 2 positive rational numbers $a_1$, $a_2$, $\ldots$ , $a_k$ satisfying $a_1$ + $a_2$ + $\ldots$ + $a_k$ $=$ $a_1$ $\cdot$ $a_2$ $\cdots$ $a_k$ $=$ n.",Let $P(x) = x^3 - 8x^2 + 3x - 2$. Find the product of all real roots of $P(x) = 0$.,2
17,Algebra,10M,USAMO 2007 P1,"Let n be a positive integer. Define a sequence by setting $a_1$ $=$ n and, for each k $>$ 1, letting $a_k$ be the unique integer in the range 0 $\le$ $a_k$ $\le$ k - 1 for which $a_1$ + $a_2$ + $\cdots$ + $a_k$ is divisible by k. For instance, when n $=$ 9 the obtained sequence is 9, 1, 2, 0, 3, 3, 3, $\ldots$ . Prove that for any n the sequence $a_1$, $a_2$, $\ldots$ eventually becomes constant.","For the recurrence $a_0 = 3$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",6141
18,Algebra,10M,USAMO 2009 P4,"For n $\ge$ 2 let $a_1$, $a_2$, $\ldots$ $a_n$ be positive real numbers such that ($a_1$ + $a_2$ + $\cdots$ + $a_n$) ( 1 $a_1$ + 1 $a_2$ + $\cdots$ + 1 $a_n$ ) $\le$ ( n + 1 2 )2 . Prove that $\max$($a_1$, $a_2$, $\ldots$ , $a_n$) $\le$ 4 $\min$($a_1$, $a_2$, $\ldots$ , $a_n$).","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
19,Algebra,10M,USAMO 2011 P1,"Let a, b, c be positive real numbers such that $a^2$ + $b^2$ + $c^2$ + (a + b + c)$^2$ $\le$ 4. Prove that $\frac{ab$ + 1}{(a + b)$^2}$ + $\frac{bc$ + 1}{(b + c)$^2}$ + $\frac{ca$ + 1}{(c + a)$^2}$ $\ge$ 3.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 10 \pmod{30}$.",1000
20,Algebra,10M,USAMO 2013 P4,"Find all real numbers x, y, z $\ge$ 1 satisfying $\min$($\sqrt{x+xyz}$, $\sqrt{y+xyz}$, $\sqrt{z+xyz}$) $=$ $\sqrt{x-1}$ + $\sqrt{y-1}$ + $\sqrt{z-1}$.",Let $P(x) = x^3 - 2x^2 + 7x - 1$. Find the product of all real roots of $P(x) = 0$.,1
21,Algebra,10M,USAMO 2014 P1,"Let a, b, c, d be real numbers such that b-d $\ge$ 5 and all zeros $x_1$, $x_2$, $x_3$, and $x_4$ of the polynomial P(x) $=$ $x^4$ $+ax^3$ $+bx^2$ +cx+d are real. Find the smallest value the product ($x_{1}^{2}$ + 1)($x_{2}^{2}$ + 1)($x_{3}^{2}$ + 1)($x_{4}^{2}$ + 1) can take.","For the recurrence $a_0 = 2$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",3071
22,Algebra,10M,USAMO 2018 P1,"Let a, b, c be positive real numbers such that a + b + c $=$ 4 $\sqrt_3$ abc. Prove that 2(ab + bc + ca) + 4 $\min$($a^2$ , $b_2$ , $c_2$ ) $\ge$ $a^2$ + $b^2$ + $c^2$ .","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
23,Algebra,10M,"USA TST 2015, P4","Let f : Q $\to$ Q be a function such that for any x, y $\in$ Q, the number f(x + y) - f(x) - f(y) is an integer. Decide whether it follows that there exists a constant c such that f(x) - cx is an integer for every rational number x. 8","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 4 \pmod{14}$.",400
24,Algebra,10M,"USA TSTST 2015, P1","Let $a_1$, $a_2$, $\ldots$ , $a_n$ be a sequence of real numbers, and let m be a fixed positive integer less than n. We say $a_n$ index k with 1 $\le$ k $\le$ n is good if there exists some ` with 1 $\le$ ` $\le$ m such that $a_k$ + $a_k+1$ + ... + $a_k+`-1$ $\ge$ 0, where the indices are taken modulo n. Let T be the set of all good indices. Prove that P $k\inT$ $a_k$ $\ge$ 0.",Let $P(x) = x^3 - 6x^2 + 3x - 5$. Find the product of all real roots of $P(x) = 0$.,5
25,Algebra,15M,"IMO 2002, P5","Find all functions f from the reals to the reals such that (f(x) + f(z)) (f(y) + f(t)) $=$ f(xy - $z_t$) + f($x_t$ + yz) for all real x, y, z, t.","For the recurrence $a_0 = 1$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",3070
26,Algebra,15M,"IMO 2005, P2","Let $a_1$, $a_2$, $\ldots$ be a sequence of integers with infinitely many positive and negative terms. Suppose that for every positive integer n the numbers $a_1$, $a_2$, $\ldots$ , $a_n$ leave n different remainders upon division by n. Prove that every integer occurs exactly once in the sequence $a_1$, $a_2$, $\ldots$.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
27,Algebra,15M,"IMO 2009, P5","Determine all functions f from the set of positive integers to the set of positive integers such that, for all positive integers a and b, there exists a non-degenerate triangle with sides of lengths a, f(b) and f(b + f(a) - 1). (A triangle is non-degenerate if its vertices are not collinear.)","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 8 \pmod{18}$.",800
28,Algebra,15M,"IMO 2012, P2","Let n $\ge$ 3 be an integer, and let $a_2$, $a_3$, $\ldots$ , $a_n$ be positive real numbers such that $a_2a_3$ $\cdots$ $a_n$ $=$ 1. Prove that (1 + $a_2$)$^2$ (1 + $a_3$)$^3$ $\cdots$(1 + $a_n$) n $>$ $n_n$ .",Let $P(x) = x^3 - 10x^2 + 7x - 4$. Find the product of all real roots of $P(x) = 0$.,4
29,Algebra,15M,"IMO 2012, P4","Find all functions f : Z $\to$ Z such that, for all integers a, b, c that satisfy a + b + c $=$ 0, the following equality holds: f(a)$^2$ + f(b)$^2$ + f(c)$^2$ $=$ 2f(a)f(b) + 2f(b)f(c) + 2f(c)f(a). 9 (Here Z denotes the set of integers.)","For the recurrence $a_0 = 5$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",8189
30,Algebra,15M,USAMO 2003 P5,"Let a, b, c be positive real numbers. Prove that (2a + b + c)$^2$ 2a 2 + (b + c)$^2$ + (2b + c + a)$^2$ 2b 2 + (c + a)$^2$ + (2c + a + b)$^2$ 2c 2 + (a + b)$^2$ $\le$ 8.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
31,Algebra,15M,USAMO 2012 P4,"Find all functions f : Z + $\to$ Z + (where Z + is the set of positive integers) such that f(n!) $=$ f(n)! for all positive integers n and such that m - n divides f(m) - f(n) for all distinct positive integers m, n.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 2 \pmod{22}$.",200
32,Algebra,15M,USAMO 2019 P1,"Let N be the set of positive integers. A function f : N $\to$ N satisfies the equation f(f($\ldots$ f | {z } f(n) times (n)$\ldots$)) $=$ $n^2$ f(f(n)) for all positive integers n. Given this information, determine all possible values of f(1000).",Let $P(x) = x^3 - 4x^2 + 3x - 3$. Find the product of all real roots of $P(x) = 0$.,3
33,Algebra,15M,"USA TST 2020, P1","Choose positive integers $b_1$, $b_2$, $\ldots$ satisfying 1 $=$ $b_1$ 1 2 $>$ $b_2$ 2 2 $>$ $b_3$ 3 2 $>$ $b_4$ 4 2 $>$ $\cdots$ and let r denote the largest real number satisfying $b_n$ $n_2$ $\ge$ r for all positive integers n. What are the possible values of r across all possible choices of the sequence ($b_n$)?","For the recurrence $a_0 = 4$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",5119
34,Algebra,15M,"USA TSTST 2014, P4","Let P(x) and Q(x) be arbitrary polynomials with real coefficients, and let d be the degree of P(x). Assume that P(x) is not the zero polynomial. Prove that there exist polynomials A(x) and B(x) such that: (i) both A and B have degree $a_t$ most d/2 ($i_i$) $a_t$ most one of A and B is the zero polynomial. (iii) A(x)+Q(x)B(x) P(x) is a polynomial with real coefficients. That is, there is some polynomial C(x) with real coefficients such that A(x) + Q(x)B(x) $=$ P(x)C(x). 10","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
35,Algebra,20M,"IMO 2001, P2","Prove that for all positive real numbers a, b, c, a $\sqrt$ $a^2$ + 8bc + b $\sqrt$ $b^2$ + 8ca + c $\sqrt$ $c^2$ + 8ab $\ge$ 1.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 6 \pmod{26}$.",600
36,Algebra,20M,"IMO 2004, P2","Find all polynomials f with real coefficients such that for all reals a, b, c such that ab + bc + ca $=$ 0 we have the following relations f(a - b) + f(b - c) + f(c - a) $=$ 2f(a + b + c).",Let $P(x) = x^3 - 8x^2 + 7x - 2$. Find the product of all real roots of $P(x) = 0$.,2
37,Algebra,20M,"IMO 2008, P2","(a) Prove that $x^2$ (x - 1)2 + $y^2$ (y - 1)2 + $z^2$ (z - 1)2 $\ge$ 1 for all real numbers x, y, z, each different from 1, and satisfying xyz $=$ 1. (b) Prove that equality holds above for infinitely many triples of rational numbers x, y, z, each different from 1, and satisfying xyz $=$ 1.","For the recurrence $a_0 = 3$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",5118
38,Algebra,20M,USAMO 2018 P2,"Find all functions f : (0,$\infty$) $\to$ (0,$\infty$) such that f ( x + $\frac{1}{y}$ ) + f ( y + $\frac{1}{z}$ ) + f ( z + $\frac{1}{x}$ ) $=$ 1 for all x, y, z $>$ 0 with xyz $=$ 1.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
39,Algebra,20M,"USA TSTST 2019, P1","Find all binary operations ♦ : $R>0$ $\times$ $R>0$ $\to$ $R>0$ (meaning ♦ takes pairs of positive real numbers to positive real numbers) such that for any real numbers a, b, c $>$ 0, - the equation a ♦ (b ♦ c) $=$ (a ♦ b) $\cdot$ c holds; and - if a $\ge$ 1 then a ♦ a $\ge$ 1.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 10 \pmod{30}$.",1000
40,Algebra,25M,"IMO 2003, P5","Let n be a positive integer and let $x_1$ $\le$ $x_2$ $\le$ $\cdots$ $\le$ $x_n$ be real numbers. Prove that $\sum$ n i,$j=1$ $|x_i$ - $x_j$ | !2 $\le$ 2($n^2$ - 1)$^3$ $\sum$ n i,$j=1$ ($x_i$ - $x_j$ )$^2$ . Show that the equality holds if and only if $x_1$, $\ldots$ , $x_n$ is $a_n$ arithmetic se￾quence.",Let $P(x) = x^3 - 2x^2 + 3x - 1$. Find the product of all real roots of $P(x) = 0$.,1
41,Algebra,25M,"IMO 2013, P5","Let $Q>0$ be the set of all positive rational numbers. Let f : $Q>0$ $\to$ R be a function satisfying the following three conditions: (i) for all x, y $\in$ $Q>0$, we have f(x)f(y) $\ge$ f(xy); ($i_i$) for all x, y $\in$ $Q>0$, we have f(x + y) $\ge$ f(x) + f(y); (iii) there exists a rational number a $>$ 1 such that f(a) $=$ a. Prove that f(x) $=$ x for all x $\in$ $Q>0$.","For the recurrence $a_0 = 2$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",5117
42,Algebra,25M,"IMO 2016, P5","The equation (x - 1)(x - 2)$\cdots$(x - 2016) $=$ (x - 1)(x - 2)$\cdots$(x - 2016) is written on the board, with 2016 linear factors on each side. What is the least possible value of k for which it is possible to erase exactly k of these 4032 linear factors so that $a_t$ least one factor remains on each side and the resulting equation has no real solutions?","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
43,Algebra,25M,"IMO 2020, P2","The real numbers a, b, c, d are such that a $\ge$ b $\ge$ c $\ge$ d $>$ 0 and a + b + c + d $=$ 1. Prove that (a + 2b + 3c + 4d)a a b b c c d d $<$ 1","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 4 \pmod{14}$.",400
44,Algebra,25M,USAMO 2003 P3,"Let n $\ne$ 0. For every sequence of integers A $=$ $a_0$, $a_1$, $a_2$, $\ldots$ , $a_n$ satisfying 0 $\le$ $a_i$ $\le$ i, for i $=$ 0, $\ldots$ , n, define another sequence t(A) $=$ t($a_0$), t($a_1$), t($a_2$), $\ldots$ , t($a_n$) 12 by setting t($a_i$) to be the number of terms in the sequence A that precede the term $a_i$ and are different from $a_i$ . Show that, starting from any sequence A as above, fewer than n applications of the transformation t lead to a sequence B such that t(B) $=$ B.",Let $P(x) = x^3 - 6x^2 + 7x - 5$. Find the product of all real roots of $P(x) = 0$.,5
45,Algebra,25M,USAMO 2004 P5,"Let a, b, c $>$ 0. Prove that ($a^5$ - $a^2$ + 3)($b^5$ - $b^2$ + 3)($c^5$ - $c^2$ + 3) $\ge$ (a + b + c)$^3$ .","For the recurrence $a_0 = 1$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",2047
46,Algebra,25M,USAMO 2014 P2,"Let Z be the set of integers. Find all functions f : Z $\to$ Z such that xf(2f(y) - x) + $y^2$ f(2x - f(y)) $=$ f(x)$^2$ x + f(yf(y)) for all x, y $\in$ Z with x $\ne$ 0.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
47,Algebra,25M,USAMO 2016 P4,"Find all functions f : R $\to$ R such that for all real numbers x and y, (f(x) + xy) $\cdot$ f(x - 3y) + (f(y) + xy) $\cdot$ f(3x - y) $=$ (f(x + y))2 .","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 8 \pmod{18}$.",800
48,Algebra,25M,USAMO 2019 P6,"Find all polynomials P with real coefficients such that P(x) yz + P(y) zx + P(z) xy $=$ P(x - y) + P(y - z) + P(z - x) holds for all nonzero real numbers x, y, z satisfying 2xyz $=$ x + y + z.",Let $P(x) = x^3 - 10x^2 + 3x - 4$. Find the product of all real roots of $P(x) = 0$.,4
49,Algebra,25M,"USA TST 2016, P5","Let n $\ge$ 4 be an integer. Find all functions W : {1, $\ldots$ , n} 2 $\to$ R such that for every partition [n] $=$ A $\cup$ B $\cup$ C into disjoint sets, $\sum$ $a\inA$ $\sum$ $b\inB$ $\sum$ $c\inC$ W(a, b)W(b, c) $=$ |A||B||C|.","For the recurrence $a_0 = 5$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",7166
50,Algebra,25M,"USA TSTST 2014, P3",Find all polynomials P(x) with real coefficients that satisfy P(x $\sqrt$ 2) $=$ P(x + $p^1$ - $x^2$ ) 13 for all real x with |x| $\le$ 1.,"How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
51,Algebra,25M,"USA TSTST 2016, P1","Let A $=$ A(x, y) and B $=$ B(x, y) be two-variable polynomials with real coefficients. Suppose that A(x, y)/B(x, y) is a polyno￾mial in x for infinitely many values of y, and a polynomial in y for infinitely many values of x. Prove that B divides A, meaning there exists a third polynomial C with real coefficients such that A $=$ B $\cdot$ C.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 2 \pmod{22}$.",200
52,Algebra,25M,"USA TSTST 2017, P3","Consider solutions to the equation $x^2$ - cx + 1 $=$ f(x) g(x) , where f and g are polynomials with nonnegative real coefficients. For each c $>$ 0, determine the minimum possible degree of f, or show that no such f, g exist.",Let $P(x) = x^3 - 4x^2 + 7x - 3$. Find the product of all real roots of $P(x) = 0$.,3
53,Algebra,30M,"IMO 2005, P3","Let x, y, z be three positive reals such that xyz $\ge$ 1. Prove that $x^5$ - $x^2$ $x^5$ + $y^2$ + $z^2$ + $y^5$ - $y^2$ $x^2$ + $y^5$ + $z^2$ + $z^5$ - $z^2$ $x^2$ + $y^2$ + $z^5$ $\ge$ 0.","For the recurrence $a_0 = 4$, $a_{n+1} = 2a_n + 3$, find $a_{10}$.",7165
54,Algebra,30M,"IMO 2015, P6","The sequence $a_1$, $a_2$, $\ldots$ of integers satisfies the conditions: (i)$^1$ $\le$ $a_j$ $\le$ 2015 for all j $\ge$ 1, ($i_i$) k + $a_k$ $\ne$ ` + a` for all 1 $\le$ k $<$ `. Prove that there exist two positive integers b and N for which $\sum$ n $j=m+1$ ($a_j$ - b) $\le$ 10072 for all integers m and n such that n $>$ m $\ge$ N.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
55,Algebra,30M,"IMO 2018, P2","Find all integers n $\ge$ 3 for which there exist real numbers $a_1$, $a_2$, $\ldots$ $a_n+2$ satisfying $a_n+1$ $=$ $a_1$, $a_n+2$ $=$ $a_2$ and $a_i$ $a_i+1$ + 1 $=$ $a_i+2$, 14 for i $=$ 1, 2, $\ldots$ , n.","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 6 \pmod{26}$.",600
56,Algebra,30M,USAMO 2001 P3,"Let a, b, c $\ge$ 0 and satisfy $a^2$ + $b^2$ + $c^2$ + abc $=$ 4. Show that 0 $\le$ ab + bc + ca - abc $\le$ 2.",Let $P(x) = x^3 - 8x^2 + 3x - 2$. Find the product of all real roots of $P(x) = 0$.,2
57,Algebra,30M,USAMO 2002 P3,Prove that any monic polynomial (a polynomial with leading coefficient 1) of degree n with real coefficients is the average of two monic polynomials of degree n with n real roots.,"For the recurrence $a_0 = 3$, $a_{n+1} = 2a_n + 1$, find $a_{10}$.",4095
58,Algebra,30M,USAMO 2014 P3,"Prove that there exists $a_n$ infinite set of points $\ldots$ , P-3, P-2, P-1, $P_0$, $P_1$, $P_2$, $P_3$, $\ldots$ in the plane with the following property: For any three distinct integers a, b, and c, points Pa, Pb , and Pc are collinear if and only if a + b + c $=$ 2014.","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
59,Algebra,30M,USAMO 2015 P6,"Consider 0 $<$ $\lambda$ $<$ 1, and let A be a multiset of positive integers. Let An $=$ {a $\in$ A : a $\le$ n}. Assume that for every n $\in$ N, the set An contains $a_t$ most $n\lambda$ numbers. Show that there are infinitely many n $\in$ N for which the sum of the elements in An is $a_t$ most n(n+1)$^2$ $\lambda$. (A multiset is a set-like collection of elements in which order is ignored, but repetition of elements is allowed and multiplicity of elements is significant. For example, multisets {1, 2, 3} and {2, 1, 3} are equivalent, but {1, 1, 2, 3} and {1, 2, 3} differ.)","Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 10 \pmod{30}$.",1000
60,Algebra,30M,USAMO 2017 P6,"Find the minimum possible value of a $b^3$ + 4 + b $c^3$ + 4 + c $d^3$ + 4 + d $a^3$ + 4 given that a, b, c, d are nonnegative real numbers such that a+b+c+d $=$ 4.",Let $P(x) = x^3 - 2x^2 + 7x - 1$. Find the product of all real roots of $P(x) = 0$.,1
61,Algebra,30M,"USA TST 2018, P2","Find all functions f : $Z^2$ $\to$ [0, 1] such that for any integers x and y, f(x, y) $=$ f(x - 1, y) + f(x, y - 1)$^2$ .","For the recurrence $a_0 = 2$, $a_{n+1} = 2a_n + 2$, find $a_{10}$.",4094
62,Algebra,30M,"USA TSTST 2015, P4","Let x, y, and z be real numbers (not necessarily positive) such that $x^4$ + $y^4$ + $z^4$ + xyz $=$ 4. Show that x $\le$ 2 and $\sqrt$ 2 - x $\ge$ $y+z^2$ .","How many functions $f: \{1, 2, \ldots, 6\} \to \{1, 2, \ldots, 6\}$ satisfy $f(f(x)) = f(x)$ for all $x$?",86625
63,Algebra,30M,"USA TSTST 2017, P6",A sequence of positive integers ($a_n$)$n\ge_1$ is of Fi￾bonacci type if it satisfies the recursive relation $a_n+2$ $=$ $a_n+1$ + $a_n$ for all n $\ge$ 1. Is it possible to partition the set of positive integers into $a_n$ infinite number of Fibonacci type sequences?,"Find the sum of all $x \in \{1, 2, \ldots, 100\}$ such that $x^2 \equiv 4 \pmod{14}$.",400
