id,subject,mohs,source,original,original_latex
24,Algebra,10M,"USA TSTST 2015, P1","Let a ,a ,...,a be a sequence of real numbers, 1 2 n and let m be a fixed positive integer less than n. We say an index k with 1 \le k \le n is good if there exists some \ell with 1 \le \ell \le m such that a + a + ... + a \ge 0, where the indices are taken modulo n. Let T k k+1 k+\ell-1 be the set of all good indices. Prove that (cid:80) a \ge 0. k k\inT","Let a ,a ,\\ldots,a be a sequence of real numbers, 1 2 n and let m be a fixed positive integer less than n. We say an index k with 1 \le k \le n is good if there exists some \ell with 1 \le \ell \le m such that a + a + \\ldots + a \ge 0, where the indices are taken modulo n. Let T k k+1 k+\ell-1 be the set of all good indices. Prove that (cid:80) a \ge 0. k k\inT"
25,Algebra,15M,"IMO 2002, P5","Find all functions f from the reals to the reals such that (f(x) + f(z))(f(y) + f(t)) = f(xy - zt) + f(xt + yz) for all real x,y,z,t.","Find all functions f from the reals to the reals such that (f(x) + f(z))(f(y) + f(t)) = f(xy - zt) + f(xt + yz) for all real x,y,z,t."
26,Algebra,15M,"IMO 2005, P2","Let a ,a ,... be a sequence of integers with infinitely many 1 2 positive and negative terms. Suppose that for every positive integer n the numbers a ,a ,...,a leave n different remainders upon division by n. 1 2 n Prove that every integer occurs exactly once in the sequence a ,a ,.... 1 2","Let a ,a ,\\ldots be a sequence of integers with infinitely many 1 2 positive and negative terms. Suppose that for every positive integer n the numbers a ,a ,\\ldots,a leave n different remainders upon division by n. 1 2 n Prove that every integer occurs exactly once in the sequence a ,a ,\\ldots. 1 2"
27,Algebra,15M,"IMO 2009, P5","Determine all functions f from the set of positive integers to the set of positive integers such that, for all positive integers a and b, there exists a non-degenerate triangle with sides of lengths a,f(b) and f(b + f(a) - 1). (A triangle is non-degenerate if its vertices are not collinear.)","Determine all functions f from the set of positive integers to the set of positive integers such that, for all positive integers a and b, there exists a non-degenerate triangle with sides of lengths a,f(b) and f(b + f(a) - 1). (A triangle is non-degenerate if its vertices are not collinear.)"
28,Algebra,15M,"IMO 2012, P2","Let n \ge 3 be an integer, and let a ,a ,...,a be positive 2 3 n real numbers such that a a \cdot\cdot\cdota = 1. Prove that 2 3 n (1 + a )2(1 + a )3\cdot\cdot\cdot(1 + a )n > nn. 2 3 n","Let n \ge 3 be an integer, and let a ,a ,\\ldots,a be positive 2 3 n real numbers such that a a \cdot\cdot\cdota = 1. Prove that 2 3 n (1 + a )2(1 + a )3\cdot\cdot\cdot(1 + a )n > nn. 2 3 n"
29,Algebra,15M,"IMO 2012, P4","Find all functions f : Z \to Z such that, for all integers a,b,c that satisfy a + b + c = 0, the following equality holds: f(a)2 + f(b)2 + f(c)2 = 2f(a)f(b) + 2f(b)f(c) + 2f(c)f(a). 9 (Here Z denotes the set of integers.)","Find all functions f : \mathbb{Z} \to \mathbb{Z} such that, for all integers a,b,c that satisfy a + b + c = 0, the following equality holds: f(a)2 + f(b)2 + f(c)2 = 2f(a)f(b) + 2f(b)f(c) + 2f(c)f(a). 9 (Here \mathbb{Z} denotes the set of integers.)"
30,Algebra,15M,USAMO 2003 P5,"Let a, b, c be positive real numbers. Prove that (2a + b + c)2 (2b + c + a)2 (2c + a + b)2 + + \le 8. 2a2 + (b + c)2 2b2 + (c + a)2 2c2 + (a + b)2","Let a, b, c be positive real numbers. Prove that (2a + b + c)2 (2b + c + a)2 (2c + a + b)2 + + \le 8. 2a2 + (b + c)2 2b2 + (c + a)2 2c2 + (a + b)2"
31,Algebra,15M,USAMO 2012 P4,"Find all functions f : Z+ \to Z+ (where Z+ is the set of positive integers) such that f(n!) = f(n)! for all positive integers n and such that m - n divides f(m) - f(n) for all distinct positive integers m,n.","Find all functions f : \mathbb{Z}+ \to \mathbb{Z}+ (where \mathbb{Z}+ is the set of positive integers) such that f(n!) = f(n)! for all positive integers n and such that m - n divides f(m) - f(n) for all distinct positive integers m,n."
32,Algebra,15M,USAMO 2019 P1,"Let N be the set of positive integers. A function f : N \to N satisfies the equation n2 f(f(...f(n)...)) = f(f(n)) (cid:124) (cid:123)(cid:122) (cid:125) f(n) times for all positive integers n. Given this information, determine all possible values of f(1000).","Let \mathbb{N} be the set of positive integers. A function f : \mathbb{N} \to \mathbb{N} satisfies the equation n2 f(f(\\ldotsf(n)\\ldots)) = f(f(n)) (cid:124) (cid:123)(cid:122) (cid:125) f(n) times for all positive integers n. Given this information, determine all possible values of f(1000)."
33,Algebra,15M,"USA TST 2020, P1","Choose positive integers b ,b ,... satisfying 1 2 b b b b_1 2 3 4 1 = > > > > \cdot\cdot\cdot 12 22 32 42 and let r denote the largest real number satisfying b n \ge r for all positive n2 integers n. What are the possible values of r across all possible choices of the sequence (b )? n","Choose positive integers b ,b ,\\ldots satisfying 1 2 b b b b_1 2 3 4 1 = > > > > \cdot\cdot\cdot 12 22 32 42 and let r denote the largest real number satisfying b n \ge r for all positive n2 integers n. What are the possible values of r across all possible choices of the sequence (b )? n"
34,Algebra,15M,"USA TSTST 2014, P4","Let P(x) and Q(x) be arbitrary polynomials with real coefficients, and let d be the degree of P(x). Assume that P(x) is not the zero polynomial. Prove that there exist polynomials A(x) and B(x) such that: (i) both A and B have degree at most d/2 (ii) at most one of A and B is the zero polynomial. (iii) A(x)+Q(x)B(x) is a polynomial with real coefficients. That is, there is some P(x) polynomial C(x) with real coefficients such that A(x) + Q(x)B(x) = P(x)C(x). 10","Let P(x) and \mathbb{Q}(x) be arbitrary polynomials with real coefficients, and let d be the degree of P(x). Assume that P(x) is not the zero polynomial. Prove that there exist polynomials A(x) and B(x) such that: (i) both A and B have degree at most d/2 (ii) at most one of A and B is the zero polynomial. (iii) A(x)+\mathbb{Q}(x)B(x) is a polynomial with real coefficients. That is, there is some P(x) polynomial C(x) with real coefficients such that A(x) + \mathbb{Q}(x)B(x) = P(x)C(x). 10"
35,Algebra,20M,"IMO 2001, P2","Prove that for all positive real numbers a,b,c, a b c \sqrt + \sqrt + \sqrt \ge 1. a2 + 8bc b2 + 8ca c2 + 8ab","Prove that for all positive real numbers a,b,c, a b c \sqrt + \sqrt + \sqrt \ge 1. a2 + 8bc b2 + 8ca c2 + 8ab"
36,Algebra,20M,"IMO 2004, P2","Find all polynomials f with real coefficients such that for all reals a,b,c such that ab + bc + ca = 0 we have the following relations f(a - b) + f(b - c) + f(c - a) = 2f(a + b + c).","Find all polynomials f with real coefficients such that for all reals a,b,c such that ab + bc + ca = 0 we have the following relations f(a - b) + f(b - c) + f(c - a) = 2f(a + b + c)."
37,Algebra,20M,"IMO 2008, P2","(a) Prove that x2 y2 z2 + + \ge 1 2 2 2 (x - 1) (y - 1) (z - 1) for all real numbers x, y, z, each different from 1, and satisfying xyz = 1. (b) Prove that equality holds above for infinitely many triples of rational numbers x, y, z, each different from 1, and satisfying xyz = 1.","(a) Prove that x2 y2 z2 + + \ge 1 2 2 2 (x - 1) (y - 1) (z - 1) for all real numbers x, y, z, each different from 1, and satisfying xyz = 1. (b) Prove that equality holds above for infinitely many triples of rational numbers x, y, z, each different from 1, and satisfying xyz = 1."
38,Algebra,20M,USAMO 2018 P2,"Find all functions f : (0,\infty) \to (0,\infty) such that ( ) ( ) ( ) 1 1 1 f x + + f y + + f z + = 1 y z x for all x,y,z > 0 with xyz = 1.","Find all functions f : (0,\infty) \to (0,\infty) such that ( ) ( ) ( ) 1 1 1 f x + + f y + + f z + = 1 y z x for all x,y,z > 0 with xyz = 1."
39,Algebra,20M,"USA TSTST 2019, P1","Find all binary operations ♦ : R × R \to R >0 >0 >0 (meaning ♦ takes pairs of positive real numbers to positive real numbers) such that for any real numbers a,b,c > 0, • the equation a♦(b♦c) = (a♦b) \cdot c holds; and • if a \ge 1 then a♦a \ge 1.","Find all binary operations ♦ : \mathbb{R} × \mathbb{R} \to \mathbb{R} >0 >0 >0 (meaning ♦ takes pairs of positive real numbers to positive real numbers) such that for any real numbers a,b,c > 0, • the equation a♦(b♦c) = (a♦b) \cdot c holds; and • if a \ge 1 then a♦a \ge 1."
40,Algebra,25M,"IMO 2003, P5","Let n be a positive integer and let x \le x \le \cdot\cdot\cdot \le x be 1 2 n real numbers. Prove that (cid:32) (cid:33)2 n n \sum 2(n2 - 1) \sum |x - x | \le (x - x )2. i j i j_3 i,j=1 i,j=1 Show that the equality holds if and only if x ,...,x is an arithmetic se- 1 n quence.","Let n be a positive integer and let x \le x \le \cdot\cdot\cdot \le x be 1 2 n real numbers. Prove that (cid:32) (cid:33)2 n n \sum 2(n2 - 1) \sum |x - x | \le (x - x )2. i j i j_3 i,j=1 i,j=1 Show that the equality holds if and only if x ,\\ldots,x is an arithmetic se- 1 n quence."
41,Algebra,25M,"IMO 2013, P5","Let Q be the set of all positive rational numbers. Let >0 f : Q \to R be a function satisfying the following three conditions: >0 (i) for all x,y \in Q , we have f(x)f(y) \ge f(xy); >0 (ii) for all x,y \in Q , we have f(x + y) \ge f(x) + f(y); >0 (iii) there exists a rational number a > 1 such that f(a) = a. Prove that f(x) = x for all x \in Q . >0","Let \mathbb{Q} be the set of all positive rational numbers. Let >0 f : \mathbb{Q} \to \mathbb{R} be a function satisfying the following three conditions: >0 (i) for all x,y \in \mathbb{Q} , we have f(x)f(y) \ge f(xy); >0 (ii) for all x,y \in \mathbb{Q} , we have f(x + y) \ge f(x) + f(y); >0 (iii) there exists a rational number a > 1 such that f(a) = a. Prove that f(x) = x for all x \in \mathbb{Q} . >0"
42,Algebra,25M,"IMO 2016, P5","The equation (x - 1)(x - 2)\cdot\cdot\cdot(x - 2016) = (x - 1)(x - 2)\cdot\cdot\cdot(x - 2016) is written on the board, with 2016 linear factors on each side. What is the least possible value of k for which it is possible to erase exactly k of these 4032 linear factors so that at least one factor remains on each side and the resulting equation has no real solutions?","The equation (x - 1)(x - 2)\cdot\cdot\cdot(x - 2016) = (x - 1)(x - 2)\cdot\cdot\cdot(x - 2016) is written on the board, with 2016 linear factors on each side. What is the least possible value of k for which it is possible to erase exactly k of these 4032 linear factors so that at least one factor remains on each side and the resulting equation has no real solutions?"
43,Algebra,25M,"IMO 2020, P2","The real numbers a,b,c,d are such that a \ge b \ge c \ge d > 0 and a + b + c + d = 1. Prove that (a + 2b + 3c + 4d)aabbccdd < 1","The real numbers a,b,c,d are such that a \ge b \ge c \ge d > 0 and a + b + c + d = 1. Prove that (a + 2b + 3c + 4d)aabbccdd < 1"
44,Algebra,25M,USAMO 2003 P3,"Let n \neq= 0. For every sequence of integers A = a ,a ,a ,...,a_0 1 2 n satisfying 0 \le a \le i, for i = 0,...,n, define another sequence i t(A) = t(a ),t(a ),t(a ),...,t(a ) 0 1 2 n 12 by setting t(a ) to be the number of terms in the sequence A that precede the i term a and are different from a . Show that, starting from any sequence A i i as above, fewer than n applications of the transformation t lead to a sequence B such that t(B) = B.","Let n \neq= 0. For every sequence of integers A = a ,a ,a ,\\ldots,a_0 1 2 n satisfying 0 \le a \le i, for i = 0,\\ldots,n, define another sequence i t(A) = t(a ),t(a ),t(a ),\\ldots,t(a ) 0 1 2 n 12 by setting t(a ) to be the number of terms in the sequence A that precede the i term a and are different from a . Show that, starting from any sequence A i i as above, fewer than n applications of the transformation t lead to a sequence B such that t(B) = B."
45,Algebra,25M,USAMO 2004 P5,"Let a,b,c > 0. Prove that (a5 - a2 + 3)(b5 - b2 + 3)(c5 - c2 + 3) \ge (a + b + c)3.","Let a,b,c > 0. Prove that (a5 - a2 + 3)(b5 - b2 + 3)(c5 - c2 + 3) \ge (a + b + c)3."
46,Algebra,25M,USAMO 2014 P2,"Let Z be the set of integers. Find all functions f : Z \to Z such that f(x)2 xf(2f(y) - x) + y2f(2x - f(y)) = + f(yf(y)) x for all x,y \in Z with x \neq= 0.","Let \mathbb{Z} be the set of integers. Find all functions f : \mathbb{Z} \to \mathbb{Z} such that f(x)2 xf(2f(y) - x) + y2f(2x - f(y)) = + f(yf(y)) x for all x,y \in \mathbb{Z} with x \neq= 0."
47,Algebra,25M,USAMO 2016 P4,"Find all functions f : R \to R such that for all real numbers x and y, (f(x) + xy) \cdot f(x - 3y) + (f(y) + xy) \cdot f(3x - y) = (f(x + y))2.","Find all functions f : \mathbb{R} \to \mathbb{R} such that for all real numbers x and y, (f(x) + xy) \cdot f(x - 3y) + (f(y) + xy) \cdot f(3x - y) = (f(x + y))2."
48,Algebra,25M,USAMO 2019 P6,"Find all polynomials P with real coefficients such that P(x) P(y) P(z) + + = P(x - y) + P(y - z) + P(z - x) yz zx xy holds for all nonzero real numbers x,y,z satisfying 2xyz = x + y + z.","Find all polynomials P with real coefficients such that P(x) P(y) P(z) + + = P(x - y) + P(y - z) + P(z - x) yz zx xy holds for all nonzero real numbers x,y,z satisfying 2xyz = x + y + z."
49,Algebra,25M,"USA TST 2016, P5","Let n \ge 4 be an integer. Find all functions W : {1,...,n}2 \to R such that for every partition [n] = A ∪ B ∪ C into disjoint sets, \sum\sum\sum W(a,b)W(b,c) = |A||B||C|. a\inA b\inB c\inC","Let n \ge 4 be an integer. Find all functions W : {1,\\ldots,n}2 \to \mathbb{R} such that for every partition [n] = A ∪ B ∪ C into disjoint sets, \sum\sum\sum W(a,b)W(b,c) = |A||B||C|. a\inA b\inB c\inC"
50,Algebra,25M,"USA TSTST 2014, P3",Find all polynomials P(x) with real coefficients that satisfy \sqrt (cid:112) P(x_2) = P(x + 1 - x2) 13 for all real x with |x| \le 1.,Find all polynomials P(x) with real coefficients that satisfy \sqrt (cid:112) P(x_2) = P(x + 1 - x2) 13 for all real x with |x| \le 1.
51,Algebra,25M,"USA TSTST 2016, P1","Let A = A(x,y) and B = B(x,y) be two-variable polynomials with real coefficients. Suppose that A(x,y)/B(x,y) is a polyno- mial in x for infinitely many values of y, and a polynomial in y for infinitely many values of x. Prove that B divides A, meaning there exists a third polynomial C with real coefficients such that A = B \cdot C.","Let A = A(x,y) and B = B(x,y) be two-variable polynomials with real coefficients. Suppose that A(x,y)/B(x,y) is a polyno- mial in x for infinitely many values of y, and a polynomial in y for infinitely many values of x. Prove that B divides A, meaning there exists a third polynomial C with real coefficients such that A = B \cdot C."
52,Algebra,25M,"USA TSTST 2017, P3","Consider solutions to the equation f(x) x2 - cx + 1 = , g(x) where f and g are polynomials with nonnegative real coefficients. For each c > 0, determine the minimum possible degree of f, or show that no such f,g exist.","Consider solutions to the equation f(x) x2 - cx + 1 = , g(x) where f and g are polynomials with nonnegative real coefficients. For each c > 0, determine the minimum possible degree of f, or show that no such f,g exist."
53,Algebra,30M,"IMO 2005, P3","Let x,y,z be three positive reals such that xyz \ge 1. Prove that x5 - x2 y5 - y2 z5 - z2 + + \ge 0. x5 + y2 + z2 x2 + y5 + z2 x2 + y2 + z5","Let x,y,z be three positive reals such that xyz \ge 1. Prove that x5 - x2 y5 - y2 z5 - z2 + + \ge 0. x5 + y2 + z2 x2 + y5 + z2 x2 + y2 + z5"
54,Algebra,30M,"IMO 2015, P6","The sequence a ,a ,... of integers satisfies the conditions: 1 2 (i) 1 \le a \le 2015 for all j \ge 1, (ii) k + a \neq= \ell + a for all 1 \le k < \ell. j k \ell Prove that there exist two positive integers b and N for which (cid:12) (cid:12) n (cid:12) \sum (cid:12) (cid:12) (a - b)(cid:12) \le 10072 (cid:12) j (cid:12) (cid:12) (cid:12) j=m+1 for all integers m and n such that n > m \ge N.","The sequence a ,a ,\\ldots of integers satisfies the conditions: 1 2 (i) 1 \le a \le 2015 for all j \ge 1, (ii) k + a \neq= \ell + a for all 1 \le k < \ell. j k \ell Prove that there exist two positive integers b and \mathbb{N} for which (cid:12) (cid:12) n (cid:12) \sum (cid:12) (cid:12) (a - b)(cid:12) \le 10072 (cid:12) j (cid:12) (cid:12) (cid:12) j=m+1 for all integers m and n such that n > m \ge \mathbb{N}."
55,Algebra,30M,"IMO 2018, P2","Find all integers n \ge 3 for which there exist real numbers a ,a ,...a satisfying a = a , a = a and 1 2 n+2 n+1 1 n+2 2 a a + 1 = a , i i+1 i+2 14 for i = 1,2,...,n.","Find all integers n \ge 3 for which there exist real numbers a ,a ,\\ldotsa satisfying a = a , a = a and 1 2 n+2 n+1 1 n+2 2 a a + 1 = a , i i+1 i+2 14 for i = 1,2,\\ldots,n."
56,Algebra,30M,USAMO 2001 P3,"Let a,b,c \ge 0 and satisfy a2 + b2 + c2 + abc = 4. Show that 0 \le ab + bc + ca - abc \le 2.","Let a,b,c \ge 0 and satisfy a2 + b2 + c2 + abc = 4. Show that 0 \le ab + bc + ca - abc \le 2."
